URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.g2.com/products/i-ready-assessment/competitors/alternatives,3.05,20,14167,0,1,7,0,0,0,43,14124,0,0,0,-12143
https://www.g2.com/products/slidesgo/reviews,0.67,154,3135,0,1,0,130,0,0,3,0,3132,0,0,-18
https://www.g2.com/products/9xbuddy/competitors/alternatives,0.65,105,3044,0,4,75,1,24,0,30,3005,2,59,0,217
https://www.g2.com/products/basecamp-hey/pricing,0.62,12,2893,0,1,8,3,3,0,2,2889,2,1,0,2
https://www.g2.com/products/1password/reviews?qs=pros-and-cons,0.48,23,2265,0,8,6,9,4,0,24,9,2182,78,0,-242
https://www.g2.com/products/course-hero/pricing,0.48,168,2250,0,19,45,32,10,0,1273,587,1534,139,0,2
https://www.g2.com/products/undress-app/reviews,0.3,52,1402,0,23,2,2,0,0,1399,38,0,0,0,1087
https://www.g2.com/products/groupon/competitors/alternatives,0.27,465,1254,0,102,71,260,269,1,496,206,755,572,0,59
https://www.g2.com/products/1password/reviews?page=3&qs=pros-and-cons,0.26,16,1221,0,4,6,8,4,0,13,5,1176,43,0,-126
https://www.g2.com/products/logic-pro-x/pricing,0.25,99,1185,0,18,25,9,14,3,774,380,7,35,0,3
https://www.g2.com/products/afterpay/competitors/alternatives,0.24,140,1159,0,56,45,1,8,1,1069,563,1,6,0,156
https://www.g2.com/products/meetup-pro/competitors/alternatives,0.23,165,1109,0,52,38,89,35,2,925,17,1019,117,0,35
https://www.g2.com/products/checkmate/reviews,0.23,16,1095,0,7,6,2,0,0,1095,2,6,0,0,0
https://www.g2.com/products/affirm/competitors/alternatives,0.22,164,1043,0,48,57,0,0,0,463,874,0,0,0,27
https://www.g2.com/products/edulastic-edulastic/pricing,0.17,24,831,0,2,4,2,1,0,3,3,0,2,0,828
https://www.g2.com/products/1bee-ai/reviews,0.17,10,820,0,0,2,3,3,0,0,811,9,9,0,-2
https://www.g2.com/products/trustpilot/reviews?qs=pros-and-cons,0.17,89,800,0,13,1,20,1,0,649,4,796,0,0,115
https://www.g2.com/products/indeed-hiring-platform/competitors/alternatives,0.15,200,739,0,154,25,22,5,2,705,100,18,0,11,-464
https://www.g2.com/products/oovoo/competitors/alternatives,0.15,25,702,0,0,8,6,3,0,0,565,137,11,0,0
https://www.g2.com/products/dropbox/reviews?page=10&qs=pros-and-cons,0.14,49,681,0,19,18,28,8,0,12,37,647,22,0,-90
https://www.g2.com/products/uquiz/reviews,0.14,32,659,0,3,5,26,1,0,7,8,651,1,0,5
https://www.g2.com/products/signupgenius/competitors/alternatives,0.13,23,621,0,3,6,3,12,0,9,9,603,9,0,-4
https://www.g2.com/products/the-print-shop/competitors/alternatives,0.13,58,620,0,10,24,6,8,0,493,98,9,59,0,-220
https://www.g2.com/products/travelzoo/competitors/alternatives,0.12,113,589,0,39,42,44,12,0,149,66,503,1,0,-2
https://www.g2.com/products/klarna/competitors/alternatives,0.12,82,581,0,49,21,0,1,0,579,157,0,0,0,44
https://www.g2.com/products/mileiq/pricing,0.11,49,528,0,1,12,14,10,0,0,0,525,4,0,288
https://www.g2.com/products/imgur/competitors/alternatives,0.11,31,515,0,3,23,2,0,0,80,487,1,0,0,2
https://www.g2.com/products/sezzle/competitors/alternatives,0.1,53,509,0,11,8,1,0,0,120,428,0,0,0,9
https://www.g2.com/products/xfinity/competitors/alternatives,0.1,150,500,0,23,64,2,3,2,82,453,2,0,17,17
https://www.g2.com/products/vecteezy/reviews,0.1,117,484,0,8,3,36,1,0,14,0,484,0,0,478
https://www.g2.com/products/flick/reviews,0.1,38,483,0,17,1,4,1,0,483,0,0,0,0,-2
https://www.g2.com/products/earthcam/reviews,0.1,98,473,0,27,54,20,16,0,185,257,183,48,0,-151
https://www.g2.com/products/clickup/reviews,0.09,77,456,0,19,1,24,1,0,40,0,456,208,0,-1
https://www.g2.com/products/clockwise-md/reviews,0.09,12,447,0,1,3,6,8,0,38,161,248,409,0,-197
https://www.g2.com/products/openoffice/competitors/alternatives,0.09,72,443,0,5,32,29,10,0,10,186,381,33,0,-31
https://www.g2.com/products/sketchup/reviews,0.09,40,419,0,3,1,5,0,0,3,0,416,0,0,-24
https://www.g2.com/products/workday-hcm/competitors/alternatives,0.08,14,414,0,6,6,4,0,0,3,1,411,0,0,-3
https://www.g2.com/products/lifemart-discounts/reviews,0.08,81,406,0,3,9,6,2,0,401,401,0,0,0,-12
https://www.g2.com/products/sadtalker-ai/competitors/alternatives,0.08,8,388,0,3,5,1,0,0,15,370,10,0,0,-89
https://www.g2.com/products/coinsnap/competitors/alternatives,0.08,52,388,0,22,34,0,0,0,163,244,0,0,0,-15
https://www.g2.com/products/exponenthr/reviews,0.08,22,385,0,0,0,12,2,0,0,0,385,0,0,3
https://www.g2.com/products/schoolrunner/reviews,0.07,3,365,0,0,2,0,0,0,0,365,0,0,0,0
https://www.g2.com/products/kapwing/reviews,0.07,48,364,0,2,0,24,0,0,1,0,363,0,0,363
https://www.g2.com/products/cisco-identity-services-engine-ise/reviews,0.07,12,363,0,2,2,3,4,0,3,248,75,360,0,136
https://www.g2.com/products/showcase/competitors/alternatives,0.07,15,360,0,0,15,0,0,0,0,360,0,0,0,147
https://www.g2.com/products/easybib-com/reviews,0.07,90,349,0,3,0,48,2,0,61,0,288,1,0,-541
https://www.g2.com/products/doordash-for-merchants/competitors/alternatives,0.07,77,347,0,34,30,0,6,0,126,88,0,154,0,186
https://www.g2.com/products/faronics-insight/competitors/alternatives,0.07,3,341,0,0,3,0,0,0,0,341,0,0,0,0
https://www.g2.com/products/bamboohr/reviews,0.07,86,338,0,31,6,34,2,1,336,0,16,0,0,248
https://www.g2.com/products/gridbank-enterprise/competitors/alternatives,0.07,3,327,0,2,0,0,0,0,327,0,0,0,0,327
https://www.g2.com/products/counterpart-insight/competitors/alternatives,0.06,5,324,0,0,5,0,0,0,0,324,0,0,0,163
https://www.g2.com/products/pipedrive/reviews,0.06,44,321,0,5,0,26,0,0,14,0,307,0,0,-1
https://www.g2.com/products/ramp-financial-ramp/reviews,0.06,68,312,0,12,5,14,2,0,142,2,168,168,0,162
https://www.g2.com/products/teamaligned/reviews,0.06,18,304,0,5,0,7,1,0,302,0,259,0,0,1
https://www.g2.com/products/kahoot/competitors/alternatives,0.06,143,302,0,44,38,0,0,0,284,78,0,0,0,166
https://www.g2.com/products/doxy-me/reviews,0.06,20,297,0,2,2,5,3,0,0,14,283,14,0,297
https://www.g2.com/products/dreamface/pricing,0.06,26,296,0,6,3,14,0,0,85,119,93,0,0,118
https://www.g2.com/products/framework/competitors/alternatives,0.06,7,295,0,1,7,0,0,0,2,295,0,0,0,-43
