URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.producthunt.com/products/giggl,2.19,6,1461,0,0,4,0,0,0,0,1461,0,0,0,1015
https://www.producthunt.com/products/onlymp3-youtube-converter,2.11,698,1409,0,3,16,0,0,0,18,1409,0,0,0,-277
https://www.producthunt.com/products/wishtender,1.01,16,678,0,2,13,0,0,1,2,678,0,0,0,0
https://www.producthunt.com/products/pitch,0.77,4,514,0,0,1,1,0,0,0,514,0,0,0,0
https://www.producthunt.com/products/emailondeck/alternatives,0.54,58,364,0,2,1,6,0,0,360,360,3,0,0,-219
https://www.producthunt.com/products/spotle,0.51,15,346,0,0,3,2,0,0,0,1,345,0,0,334
https://www.producthunt.com/products/boldvoice-accent-oracle,0.5,113,334,0,0,41,10,25,0,0,328,4,267,0,101
https://www.producthunt.com/products/duet-display/questions/is-duet-display-free,0.48,36,326,0,3,11,15,7,0,1,272,54,53,0,1
https://www.producthunt.com/products/messages-wrapped,0.41,21,275,0,5,13,1,0,0,43,275,0,0,0,72
https://www.producthunt.com/products/moemate/reviews,0.4,6,271,0,0,1,0,0,1,0,271,0,0,0,271
https://www.producthunt.com/products/ai-tools-kit,0.39,2,263,0,2,2,0,0,0,263,263,0,0,0,263
https://www.producthunt.com/products/hers/questions/who-owns-hims-and-hers,0.34,52,228,0,1,22,5,0,0,23,173,55,0,0,-7
https://www.producthunt.com/products/camelcamelcamel-com,0.33,100,225,0,0,0,43,5,0,0,0,198,124,0,23
https://www.producthunt.com/products/instant-username-search,0.32,22,219,0,0,1,10,0,0,0,196,23,0,0,0
https://www.producthunt.com/products/cirkul/questions/can-you-reuse-the-cirkul-cartridges,0.31,159,210,0,15,53,24,29,0,8,36,151,21,0,-63
https://www.producthunt.com/products/littlefund,0.31,1,208,0,0,1,0,0,0,0,208,0,0,0,0
https://www.producthunt.com/products/producthunt/questions/what-is-product-hunt,0.31,5,207,0,1,0,3,0,0,15,0,192,0,0,192
https://www.producthunt.com/products/metastream,0.3,15,201,0,0,5,1,1,0,0,200,0,0,0,40
https://www.producthunt.com/products/chatgot,0.29,13,198,0,3,2,5,1,0,191,0,173,0,0,134
https://www.producthunt.com/products/factle-sports?launch=factle-sports,0.28,1,192,0,0,1,0,1,0,0,192,0,192,0,192
https://www.producthunt.com/products/ggoo-gl,0.26,1,178,0,0,1,0,0,0,0,178,0,0,0,178
https://www.producthunt.com/products/tumlook,0.26,12,177,0,0,5,2,1,0,0,26,140,11,0,8
