Selector,Traffic,Region
microsoftedge.microsoft.com/addons/detail/ublock-origin/odfafepnkmbhccpbejgmiehpchacaeak,601,us
microsoftedge.microsoft.com/addons/detail/ndcileolkflehcjpmjnfbnaibdcgglog,190,us
microsoftedge.microsoft.com/addons/detail/nglldgigdelckmpckmecmeegnpiebfhp,184,us
microsoftedge.microsoft.com/addons/detail/kjbcffojnhnbbhmfodiabffngikodcak,62,us
microsoftedge.microsoft.com/addons/detail/free-vpn-for-edge-vpn-p/panammoooggmlehahpcjckcncfeffcoi,82,us
microsoftedge.microsoft.com/addons/detail/go88-watch-sport-game-t/ceihpnkdagbkfpefhcanjjgclegoaceb?hl=mi-NZ,143,us
microsoftedge.microsoft.com/addons/detail/kidflfflchdjfnodgocjanlnboeplfdg,166,us
microsoftedge.microsoft.com/addons/detail/savefromnet-helper/hndfjogdceachkbgioglehonpejcdhem,25,us
microsoftedge.microsoft.com/addons/detail/prodigy-hacking-extension/ekoakjipfmjpmlkldiikhoigaflfkjej,51,us
microsoftedge.microsoft.com/addons/detail/topstream-newtab-photo/gbjnhffhoeggkjdlobpobkkdigcpbaka?hl=sq,2,us
microsoftedge.microsoft.com/addons/detail/cinecalidad-peliculas-pho/iclmkocpfipeelkdkofkonlidlicjmch?hl=sq,81,us
microsoftedge.microsoft.com/addons/detail/urban-vpn-proxy/nimlmejbmnecnaghgmbahmbaddhjbecg,123,us
microsoftedge.microsoft.com/addons/detail/mkejgcgkdlddbggjhhflekkondicpnop,84,us
microsoftedge.microsoft.com/addons/detail/dochub-—-edit-sign-and-/paanhbilghklinkjfggaalkhfbebjefb?hl=en-US,218,us
microsoftedge.microsoft.com/addons/detail/kcncnligoeeclcphjjcmmjgoodplbjhd,12,us
microsoftedge.microsoft.com/addons/detail/ublock-origin-lite/cimighlppcgcoapaliogpjjdehbnofhn,1,us
microsoftedge.microsoft.com/addons/detail/block-site/mpahgcedbacefmdilbgncamkfkhhhiab,106,us
microsoftedge.microsoft.com/addons/detail/hcppimlenafppomfhfmlfckomalgmmga,643,us
microsoftedge.microsoft.com/addons/detail/doofnmdkhmgceecimidaembafkcbpdfa,5,us
microsoftedge.microsoft.com/addons/detail/jkanime-city-anime-photo/hlednhjidgcfondhfcbnkbekompelhcn?hl=sq-AL,117,us
microsoftedge.microsoft.com/addons/detail/black-butler-wallpaper/mlghfeboeepdkdgfeepbbpjheaookofl?mc=05554369,18,us
microsoftedge.microsoft.com/addons/detail/font-finder/hhojcpbmilabimndlmnbegcknapalgph,64,us
microsoftedge.microsoft.com/addons/detail/adblock-plus-free-ad-bl/gmgoamodcdcjnbaobigkjelfplakmdhh,132,us
microsoftedge.microsoft.com/addons/detail/animedao-watch-anime-phot/mmfnhcpmjeaoandpjlphgcefdhabjloj?hl=fa-IR,58,us
microsoftedge.microsoft.com/addons/detail/oiecibnnapjeijccpmhonpooadjpcmnk,8,us
microsoftedge.microsoft.com/addons/detail/xmovies8-watch-tv-series-/ofgbmhplpmfedegnhhbodechkndpikka?hl=sq,21,us
microsoftedge.microsoft.com/addons/detail/npolimekdjdhijlfikfghaipaijbbobj,17,us
microsoftedge.microsoft.com/addons/detail/tampermonkey/iikmkjmpaadaobahmlepeloendndfphd,57,us
microsoftedge.microsoft.com/addons/detail/ie-tab/npjkkakdacjaihjaoeliacmecofghagh,112,us
microsoftedge.microsoft.com/addons/detail/stream-cleaner/kmjdlhckppaahfaodneflgfjfkcealkl,225,us
microsoftedge.microsoft.com/addons/detail/1v1lol/ikilceecojbjjiffkafledgbobffgiob,2,us
microsoftedge.microsoft.com/addons/detail/mma-streams-wallpaper-new/dnbdalbmmnbndakjadghnikfmgmkidcn?hl=sr-latn-rs,4,us
microsoftedge.microsoft.com/addons/detail/questionai-homework-power/dgbmiglnjpdajlflmbnnjkemghbkmied,30,us
microsoftedge.microsoft.com/addons/detail/totalsportek-photo-new-ta/jbljepnmkimgakiobcdaakoplohmaoen?hl=sq,6,us
microsoftedge.microsoft.com/addons/detail/easy-video-downloader/aedmbndhebgfjdjafolibjbpahnbchkk,10,us
microsoftedge.microsoft.com/addons/detail/720pstream-one-photo-new-/ggaffmkedallkelnlemlkdmnjepfppap?hl=sq,36,us
microsoftedge.microsoft.com/addons/detail/slope-unblocked-game/ndcokkmfmiaecmndbpohaogmpmchfpkk?hl=ug,6,us
microsoftedge.microsoft.com/addons/detail/pirlo-tv-wallpaper-new-ta/gfkmbljjiafgjbpheemidjhjkogpanhm?hl=mi-NZ,4,us
microsoftedge.microsoft.com/addons/detail/nhnmkhegbdmfcecbpdelkbngfinmhpgm,2,us
microsoftedge.microsoft.com/addons/detail/lmakhegealefmkbnagibiebebncemhgn,121,us
microsoftedge.microsoft.com/addons/detail/foxyproxy/flcnoalcefgkhkinjkffipfdhglnpnem,7,us
microsoftedge.microsoft.com/addons/detail/omgflix-mom-watch-free-/kdiopplclemiphhfhoflnehekbioofam?hl=mi-NZ,55,us
microsoftedge.microsoft.com/addons/detail/fnojafohdfhmnkbjonengkcfclhkbkcm,66,us
microsoftedge.microsoft.com/addons/detail/weakstreams-new-tab-wallp/accaijfcagjccckaceaccjafbkgelgpi?hl=sr-Latn-RS,3,us
microsoftedge.microsoft.com/addons/detail/spotify-ad-blocker-bloc/ljpggalajpbkcfojcmndbhhkpmdhibnd,32,us
microsoftedge.microsoft.com/addons/detail/edit-anything/lhmhnienagdbkggbadphgjgepeiffiij,215,us
microsoftedge.microsoft.com/addons/detail/pie-adblock-a-powerful-/bdcifpdhpbogkpknkehemejimecaphok,135,us
microsoftedge.microsoft.com/addons/detail/jnnegfeoajfpekblmambdjgiibhidlio,2,us
microsoftedge.microsoft.com/addons/detail/mmashare-live-wallpaper-n/pcocfooachlejmobdgbaoajgpjfpaegf?hl=mi-NZ,138,us
microsoftedge.microsoft.com/addons/detail/metamask/ejbalbakoplchlghecdalmeeeajnimhm?hl=en-US,47,us
microsoftedge.microsoft.com/addons/detail/color-picker/apjjdpojboehkljfehjjfccnpgmnbcad,100,us
microsoftedge.microsoft.com/addons/detail/idm-integration-module/llbjbkhnmlidjebalopleeepgdfgcpec,97,us
microsoftedge.microsoft.com/addons/detail/mahfmpiafegbggdipcefcjbdmoicfmfm,116,us
microsoftedge.microsoft.com/addons/detail/video-downloadhelper/jmkaglaafmhbcpleggkmaliipiilhldn,4,us
microsoftedge.microsoft.com/addons/detail/video-downloader-professi/okbameiopeedemhpgneephimkndciagi,34,us
microsoftedge.microsoft.com/addons/detail/youtube-video-downloader-/edlhlbdijhpceehcbjhaaijblcailbjk,73,us
microsoftedge.microsoft.com/addons/detail/fjnehcbecaggobjholekjijaaekbnlgj,3,us
microsoftedge.microsoft.com/addons/detail/gofullpage-full-page-sc/hfaciehifhdcgoolaejkoncjciicbemc,14,us
microsoftedge.microsoft.com/addons/detail/phnnpafoelnadmgjkinijkbaogoekoff,39,us
microsoftedge.microsoft.com/addons/detail/enhancer-for-youtube™/dlgfaleeejmphhnemjgiaekdbonkagkd,6,us
microsoftedge.microsoft.com/addons/detail/wappalyzer/mnbndgmknlpdjdnjfmfcdjoegcckoikn,60,us
microsoftedge.microsoft.com/addons/detail/mercury-reader/kpldbdfpngbdadafgaccakmeaoeligcl,6,us
microsoftedge.microsoft.com/addons/detail/1clickvpn-proxy-for-edge/deopfbighgnpgfmhjeccdifdmhcjckoe,24,us
microsoftedge.microsoft.com/addons/detail/downthemall/kenmkleahlilpehjignjigpdhciknmdf,20,us
microsoftedge.microsoft.com/addons/detail/dramaqu-korea-drama-photo/fncbncfnjeapnilkepdnmidjhgfbfign?hl=mi-NZ,2,us
microsoftedge.microsoft.com/addons/detail/dark-reader/ifoakfbpdcdoeenechcleahebpibofpc,19,us
microsoftedge.microsoft.com/addons/detail/yesmovies-media-watch-m/apcpjeconffgpfdpljcneogdnmiibglg?hl=mi-NZ,1,us
microsoftedge.microsoft.com/addons/detail/dbepbhhcmhodojepbagfppgpieeplpik,9,us
microsoftedge.microsoft.com/addons/detail/ojjjpnebilpphhncpddahppfbkbadjll,1,us
microsoftedge.microsoft.com/addons/detail/revert-site/monbhgbmigkifcnnjicomdmbhnhhapjb,30,us
microsoftedge.microsoft.com/addons/detail/cricfreewatch-photos-new/loflnlpgbgdfbpenbdifephoinonmaoi?hl=mi-NZ,153,us
microsoftedge.microsoft.com/addons/detail/kifmobgbglmealpjjbgegdhfhkbponcb?ref=mytab-themes.ghost.io,4,us
microsoftedge.microsoft.com/addons/detail/cagicamgdlbdmonbclkpgiabbldodgae,1,us
microsoftedge.microsoft.com/addons/detail/animepahe-at-animepaheli/phgkdhlngadomeppnfdpecknceppblgl?hl=mi-NZ,6,us
microsoftedge.microsoft.com/addons/detail/nijmngdbljgncibgjhjpnhniplbnaakp,64,us
microsoftedge.microsoft.com/addons/detail/dppgmdbiimibapkepcbdbmkaabgiofem,1,us
microsoftedge.microsoft.com/addons/detail/6streams-photos-new-tab/acdoghaepgjmhjgpdihfnnbfdhfdjlcg?hl=fa,2,us
microsoftedge.microsoft.com/addons/detail/prodigy-hacking-extension/ekoakjipfmjpmlkldiikhoigaflfkjej?hl=lb-LU,16,us
microsoftedge.microsoft.com/addons/detail/ilopbfbimhopbnabmhkafohigjoikhal,1,us
microsoftedge.microsoft.com/addons/detail/five-nights-at-freddys-u/plnlkfanohbadhjpccfhnnfpjbkcdebn?hl=de-DE,4,us
microsoftedge.microsoft.com/addons/detail/bosscast-watch-sport-ga/ifcloljjfdehdegmjjojefecdmgpiibd?hl=fa,24,us
microsoftedge.microsoft.com/addons/detail/ytmp3/mllmgmjeopjppiflfjfempiglkjicmib,29,us
microsoftedge.microsoft.com/addons/detail/alternate-player-for-twit/aojjiodaaogdbbcnbpjnojilccopgcbk,40,us
microsoftedge.microsoft.com/addons/detail/streamonsport-wallpaper-n/pehlodplpopfpfodnfflgkihmpdoefmh?hl=fa,3,us
microsoftedge.microsoft.com/addons/detail/chaknlnikaeplknmojcjkboeebjbclln,44,us
microsoftedge.microsoft.com/addons/detail/jlhgedjpndhblehblebhncfmkkpngiep,2,us
microsoftedge.microsoft.com/addons/detail/emdoaoonidndlhjhjfgiooeinkkcnfih,47,us
microsoftedge.microsoft.com/addons/detail/pibpbbbcgeakmkmhgnllkkjdgpoabdge,57,us
microsoftedge.microsoft.com/addons/detail/minfmdkpoboejckenbchpjbjjkbdebdm,48,us
microsoftedge.microsoft.com/addons/detail/ad-blocker-stands-adbloc/jccfboncbdccgbgcbhickioeailgpkgb,21,us
microsoftedge.microsoft.com/addons/detail/inmkjedjdhgpknjogbjomhnbgdccckkg?hl=de,8,us
microsoftedge.microsoft.com/addons/detail/retro-bowl-unblocked-game/bgifpgkkfpolfodjaneppgfadlflimmn,78,us
microsoftedge.microsoft.com/addons/detail/lmgkbimekjhgcoghjlncpbhfdoelonod,52,us
