Selector,Traffic,Region
apps.microsoft.com/detail/9pktq5699m62?hl=en-US&gl=US,847,us
apps.microsoft.com/detail/9nksqgp7f2nh?hl=en-US&gl=US,7,us
apps.microsoft.com/detail/9wzdncrfj3pt?hl=en-US&gl=US,590,us
apps.microsoft.com/detail/9wzdncrfj2wl?hl=en-US&gl=US,150,us
apps.microsoft.com/detail/9ntm2qc6qws7?hl=en-US&gl=US,24,us
apps.microsoft.com/detail/9mvfq4lmz6c9?hl=en-US&gl=US,95,us
apps.microsoft.com/detail/9msmlrh6lzf3?hl=en-US&gl=US,973,us
apps.microsoft.com/detail/9pd9bhglfc7h?hl=en-US&gl=US,722,us
apps.microsoft.com/detail/9wzdncrfhwd2?hl=en-US&gl=US,422,us
apps.microsoft.com/detail/xpdm1zw6815mqm?hl=en-US&gl=US,366,us
apps.microsoft.com/detail/xpfm2k6gpv72cr?hl=en-US&gl=US,395,us
apps.microsoft.com/detail/9pb2mz1zmb1s?hl=en-US&gl=US,519,us
apps.microsoft.com/detail/9np83lwlpz9k?hl=en-US&gl=US,854,us
apps.microsoft.com/detail/9nblggh5l9xt?hl=en-US&gl=US,454,us
apps.microsoft.com/detail/9wzdncrfj140?hl=en-US&gl=US,737,us
apps.microsoft.com/detail/9wzdncrfjbh4?hl=en-US&gl=US,18,us
apps.microsoft.com/detail/9wzdncrfj3tj?hl=en-US&gl=US,259,us
apps.microsoft.com/detail/9mz95kl8mr0l?hl=en-US&gl=US,999,us
apps.microsoft.com/detail/9nt1r1c2hh7j?hl=en-US&gl=US,192,us
apps.microsoft.com/detail/9nh2gph4jzs4?hl=en-US&gl=US,721,us
apps.microsoft.com/detail/9n8fwm1c28tb?hl=en-US&gl=US,94,us
apps.microsoft.com/detail/9nrx63209r7b?hl=en-US&gl=US,95,us
apps.microsoft.com/detail/9wzdncrfhwlh?hl=en-US&gl=US,137,us
apps.microsoft.com/detail/9n4vn1s60632?hl=en-US&gl=US,514,us
apps.microsoft.com/detail/9pfhdd62mxs1?hl=en-US&gl=US,430,us
apps.microsoft.com/detail/9nmzlz57r3t7?hl=en-US&gl=US,291,us
apps.microsoft.com/detail/9nztwsqntd0s?hl=en-US&gl=US,429,us
apps.microsoft.com/detail/xpdm5vsmtkqlbj?hl=en-US&gl=US,956,us
apps.microsoft.com/detail/9wzdncrdcwk8?hl=en-US&gl=US,19,us
apps.microsoft.com/detail/9p6pmztm93lr?hl=en-US&gl=US,183,us
apps.microsoft.com/detail/9pnxv71sz79k?hl=en-US&gl=US,144,us
apps.microsoft.com/detail/9p3fg98r5x8f?hl=en-US&gl=US,833,us
apps.microsoft.com/detail/9wzdncrfj26j?hl=en-US&gl=US,40,us
apps.microsoft.com/detail/9nlvzbz2wz28?hl=en-US&gl=US,581,us
apps.microsoft.com/detail/9pjf3351zzgv?hl=en-GB&gl=AU,458,us
apps.microsoft.com/detail/9pjf3351zzgv?hl=en-US&gl=US,817,us
apps.microsoft.com/detail/9wzdncrfj2sm?hl=en-US&gl=US,2,us
apps.microsoft.com/detail/9pfhdsf91b9r?hl=en-US&gl=US,214,us
apps.microsoft.com/detail/9n4jbjnfzc1l?hl=en-US&gl=US,389,us
apps.microsoft.com/detail/9wzdncrfhwcp?hl=en-US&gl=US,293,us
apps.microsoft.com/detail/9nw3sptz4z9t?hl=en-US&gl=US,477,us
apps.microsoft.com/detail/9n1sv6841f0b?hl=en-US&gl=US,68,us
apps.microsoft.com/detail/9nqxvpnh8400?hl=en-US&gl=US,680,us
apps.microsoft.com/detail/9pctgdfxvzlj?hl=en-US&gl=US,249,us
apps.microsoft.com/detail/9wzdncrfj3gm?hl=en-US&gl=US,296,us
apps.microsoft.com/detail/9np355qt2sqb?hl=en-US&gl=US,813,us
apps.microsoft.com/detail/9n0dx20hk701?hl=en-US&gl=US,461,us
apps.microsoft.com/detail/9nsh25lt1f9c?hl=en-US&gl=US,349,us
apps.microsoft.com/detail/9p87m9tknkvl?hl=en-US&gl=US,429,us
apps.microsoft.com/detail/9wzdncrfj3l1?hl=en-US&gl=US,270,us
apps.microsoft.com/detail/9nblggh4z1jc?hl=en-US&gl=US,89,us
apps.microsoft.com/detail/9pgm3qb3pdrd?hl=en-US&gl=US,449,us
apps.microsoft.com/detail/9wzdncrdqfbt?hl=en-US&gl=US,374,us
apps.microsoft.com/detail/9mv0b5hzvk9z?hl=en-US&gl=US,429,us
apps.microsoft.com/detail/9nxqxxlfst89?hl=en-US&gl=US,165,us
apps.microsoft.com/detail/9p9lv240kq9r?hl=en-US&gl=US,294,us
apps.microsoft.com/detail/xp8jjnhn91wfhh?hl=zh-CN&gl=CN,169,us
apps.microsoft.com/detail/9p15s8pwmq8c?hl=en-US&gl=US,571,us
apps.microsoft.com/detail/xp99j3kp4xz4vv?hl=en-US&gl=US,507,us
apps.microsoft.com/detail/9nblggh5g47v?hl=en-US&gl=US,653,us
apps.microsoft.com/detail/xpdcszfg8dpkp3?hl=en-US&gl=US,497,us
apps.microsoft.com/detail/xpffzhvgqwwlhb?hl=en-US&gl=US,160,us
apps.microsoft.com/detail/9pfz8rfzg5x4?hl=en-US&gl=US,50,us
apps.microsoft.com/detail/xpdm5w49v80n6v?hl=en-US&gl=US,181,us
apps.microsoft.com/detail/9n5jspvtdq3l?hl=en-US&gl=US,68,us
apps.microsoft.com/detail/9nms233vm4z9?hl=en-US&gl=US,176,us
apps.microsoft.com/detail/9nksqgp7f2nh?hl=pt-BR&gl=BR,658,br
apps.microsoft.com/detail/9nblggh5l9xt?hl=pt-BR&gl=BR,575,br
apps.microsoft.com/detail/9wzdncrfj3tt?hl=pt-BR&gl=BR,164,br
apps.microsoft.com/detail/9ntm2qc6qws7?hl=pt-BR&gl=BR,613,br
apps.microsoft.com/detail/9ntm2qc6qws7?hl=pt-BR&gl=US,8,br
apps.microsoft.com/detail/9n9tzxcpz5kj?hl=pt-BR&gl=BR,162,br
apps.microsoft.com/detail/9nh2gph4jzs4?hl=pt-BR&gl=BR,209,br
apps.microsoft.com/detail/9mvfq4lmz6c9?hl=pt-BR&gl=BR,48,br
apps.microsoft.com/detail/9wzdncrfj2wl?hl=pt-BR&gl=BR,44,br
apps.microsoft.com/detail/9pktq5699m62,52,br
apps.microsoft.com/detail/9n770twkd9xh?hl=pt-BR&gl=BR,254,br
apps.microsoft.com/detail/xp8k17rnmm8mtn?hl=en-US&gl=US,178,br
apps.microsoft.com/detail/9ncbcszsjrsb?hl=pt-BR&gl=BR,12,br
apps.microsoft.com/detail/9nztwsqntd0s?hl=pt-BR&gl=BR,323,br
apps.microsoft.com/detail/9wzdncrfj3pt?hl=pt-BR&gl=BR,275,br
apps.microsoft.com/detail/9wzdncrdkrdt?hl=pt-BR&gl=US,235,br
apps.microsoft.com/detail/9nh2gph4jzs4?hl=pt-BR&gl=MZ,121,br
apps.microsoft.com/detail/xpffh613w8v6lv?hl=pt-BR&gl=BR,384,br
apps.microsoft.com/detail/9nblggh5g47v?hl=pt-BR&gl=BR,412,br
apps.microsoft.com/detail/9wzdncrdn9kt?hl=pt-BR&gl=BR,262,br
apps.microsoft.com/detail/9nzm8d1qdbsc?hl=pt-BR&gl=US,6,br
apps.microsoft.com/detail/9nztwsqntd0s?hl=en-US&gl=US,137,br
apps.microsoft.com/detail/9nblggh2037z?hl=pt-BR&gl=BR,952,br
apps.microsoft.com/detail/xp9kn75rrb9nhs?hl=pt-BR&gl=BR,116,br
apps.microsoft.com/detail/9nblggh4vvnh?hl=pt-BR&gl=BR,238,br
apps.microsoft.com/detail/9p0xnf0jhwbv?hl=pt-BR&gl=BR,93,br
apps.microsoft.com/detail/9p60780h62k9?hl=pt-BR&gl=CH,79,br
apps.microsoft.com/detail/xp8lgt18lss4qs?hl=pt-BR&gl=BR,11,br
apps.microsoft.com/detail/9n438mzhd3zf?hl=pt-BR&gl=BR,340,br
apps.microsoft.com/detail/9pf4kz2vn4w9?hl=pt-BR&gl=BR,40,br
apps.microsoft.com/detail/9nlvzbz2wz28?hl=pt-BR&gl=BR,214,br
apps.microsoft.com/detail/9wzdncrfjbh4?hl=pt-BR&gl=BR,206,br
apps.microsoft.com/detail/9nblggh4z1jc?hl=pt-BR&gl=BR,276,br
apps.microsoft.com/detail/9nblggh4qghw?hl=pt-BR&gl=BR,23,br
apps.microsoft.com/detail/9nblggh201p7?hl=pt-BR&gl=BR,39,br
apps.microsoft.com/detail/9pfdf2zd4z4n?hl=pt-BR&gl=US,322,br
apps.microsoft.com/detail/9wzdncrfj3tj?hl=pt-BR&gl=BR,55,br
apps.microsoft.com/detail/9wzdncrfj140?hl=pt-BR&gl=BR,308,br
apps.microsoft.com/detail/9nrx63209r7b?hl=pt-br&gl=US,30,br
apps.microsoft.com/detail/9pb359dqfjn6?hl=en-US&gl=US,8,br
apps.microsoft.com/detail/9nrx63209r7b?hl=pt-br&gl=US/,98,br
apps.microsoft.com/detail/xp8bt8dw290mpq?hl=pt-BR&gl=BR,532,br
apps.microsoft.com/detail/9wzdncrfhwcp?hl=en-US&gl=US,4,br
apps.microsoft.com/detail/9nbdxk71nk08?hl=pt-BR&gl=BR,67,br
apps.microsoft.com/detail/xp9kn75rrb9nhs?hl=pt-BR&gl=GE,66,br
apps.microsoft.com/detail/xpfm0b62tj71kr,102,br
apps.microsoft.com/detail/9nblggh5l9xt?hl=en-US&gl=US,96,br
apps.microsoft.com/detail/9pj8266bhfwn?hl=pt-BR&gl=US,79,br
apps.microsoft.com/detail/9pd88qb3bgkn?hl=pt-BR&gl=BR,29,br
apps.microsoft.com/detail/9pjvm4fxd2ts?hl=pt-BR&gl=BR,40,br
apps.microsoft.com/detail/9n6sn0bxb13d?hl=pt-BR&gl=BR,2,br
apps.microsoft.com/detail/9p7bv5h5nsd3?hl=pt-BR&gl=BR,88,br
apps.microsoft.com/detail/9nsh25lt1f9c,361,br
apps.microsoft.com/detail/9ndjq0j8ksdz?hl=pt-BR&gl=BR,79,br
apps.microsoft.com/detail/xpdm17hk323c4x?hl=pt-BR&gl=MY,112,br
apps.microsoft.com/detail/9p60780h62k9?hl=pt-BR,74,br
apps.microsoft.com/detail/9wzdncrdkrdt?hl=pt-BR&gl=BR,84,br
apps.microsoft.com/detail/9nblggh4twwg?hl=pt-BR&gl=BR,110,br
apps.microsoft.com/detail/9nph591hjxkz?hl=pt-BR&gl=BR,101,br
apps.microsoft.com/detail/9wzdncrfhvn5?hl=pt-BR&gl=BR,9,br
apps.microsoft.com/detail/9pp3c07gtvrh?hl=pt-BR&gl=BR,32,br
apps.microsoft.com/detail/9wzdncrfj3pv?hl=pt-BR,68,br
apps.microsoft.com/detail/9nblggh67wlk?hl=pt-BR&gl=BR,721,br
apps.microsoft.com/detail/9wzdncrdpjls?hl=pt-BR&gl=BR,27,br
apps.microsoft.com/detail/9p23v641rqml?hl=pt-BR&gl=BR,49,br
apps.microsoft.com/detail/9wzdncrdcr1w?hl=pt-BR&gl=BR,106,br
apps.microsoft.com/detail/9wzdncrfj140?hl=en-US&gl=US,18,br
apps.microsoft.com/detail/9n0tn65p5bf6?hl=pt-BR&gl=BR,87,br
apps.microsoft.com/detail/xpdlpkwg9sw2wd?hl=pt-BR&gl=BR,217,br
apps.microsoft.com/detail/9wzdncrdh6mc?hl=pt-BR&gl=MZ,11,br
apps.microsoft.com/detail/9pndlw19mw8h?hl=pt-BR&gl=BR,159,br
apps.microsoft.com/detail/9p1d1vztc84x?hl=pt-BR&gl=BR,339,br
apps.microsoft.com/detail/9nblggh18846?hl=en-US&gl=US,94,br
apps.microsoft.com/detail/9wzdncrfj2wl?hl=pt-BR&gl=US,71,br
apps.microsoft.com/detail/9p297ctrzj1r?hl=pt-BR&gl=BR,159,br
apps.microsoft.com/detail/9nqh521hcgmb?hl=pt-BR&gl=BR,18,br
apps.microsoft.com/detail/9ntm2qc6qws7?hl=en-US&gl=US,96,br
apps.microsoft.com/detail/9p8dfb9fbtw4?hl=en-US&gl=US,98,br
apps.microsoft.com/detail/xpffgss4z9m2tx?hl=en-US&gl=US,27,br
apps.microsoft.com/detail/9wzdncrdjfj1?hl=pt-BR&gl=BR,77,br
apps.microsoft.com/detail/9n1kpx9m78d6?hl=pt-BR&gl=BR,4,br
apps.microsoft.com/detail/9pn9b16njk3j?hl=pt-BR&gl=BR,166,br
apps.microsoft.com/detail/9wzdncrdc33m?hl=pt-br&gl=US,43,br
apps.microsoft.com/detail/9wzdncrcwjw4?hl=pt-BR&gl=BR,48,br
