Selector,Traffic,Region
marketplace.visualstudio.com/items?itemName=ms-vscode.hexeditor,250,us
marketplace.visualstudio.com/items?itemName=jevakallio.vscode-hacker-typer,107,us
marketplace.visualstudio.com/items?itemName=MadsKristensen.SqlFormatter,510,us
marketplace.visualstudio.com/items?itemName=alefragnani.Bookmarks,921,us
marketplace.visualstudio.com/items?itemName=anthropic.claude-code,799,us
marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode,786,us
marketplace.visualstudio.com/items?itemName=hediet.vscode-drawio,727,us
marketplace.visualstudio.com/items?itemName=ms-vscode.live-server,690,us
marketplace.visualstudio.com/items?itemName=yzane.markdown-pdf,676,us
marketplace.visualstudio.com/items?itemName=rioj7.vscode-json-validate,633,us
marketplace.visualstudio.com/items?itemName=ms-windows-ai-studio.windows-ai-studio,632,us
marketplace.visualstudio.com/items?itemName=Postman.postman-for-vscode,329,us
marketplace.visualstudio.com/items?itemName=streetsidesoftware.code-spell-checker,81,us
marketplace.visualstudio.com/items?itemName=Continue.continue,126,us
marketplace.visualstudio.com/items?itemName=TakumiI.markdowntable,483,us
marketplace.visualstudio.com/items?itemName=ritwickdey.LiveServer,480,us
marketplace.visualstudio.com/items?itemName=vscode-icons-team.vscode-icons,461,us
marketplace.visualstudio.com/items?itemName=MadsKristensen.JSONSchemaGenerator2,448,us
marketplace.visualstudio.com/items?itemName=qwtel.sqlite-viewer,443,us
marketplace.visualstudio.com/items?itemName=ms-vscode.cpptools,918,us
marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter,110,us
marketplace.visualstudio.com/items?itemName=formulahendry.code-runner,986,us
marketplace.visualstudio.com/items?itemName=MadsKristensen.SvgViewer,183,us
marketplace.visualstudio.com/items?itemName=ms-python.vscode-pylance,38,us
marketplace.visualstudio.com/items?itemName=ms-python.python,27,us
marketplace.visualstudio.com/items?itemName=Google.geminicodeassist,33,us
marketplace.visualstudio.com/items?itemName=chrismeyers.vscode-pretty-json,80,us
marketplace.visualstudio.com/items?itemName=dbaeumer.vscode-eslint,336,us
marketplace.visualstudio.com/items?itemName=MS-vsliveshare.vsliveshare,328,us
marketplace.visualstudio.com/items?itemName=tonybaloney.vscode-pets,322,us
marketplace.visualstudio.com/items?itemName=vscjava.vscode-spring-initializr,322,us
marketplace.visualstudio.com/items?itemName=msjsdiag.vscode-react-native,321,us
marketplace.visualstudio.com/items?itemName=sourcegraph.cody-ai,316,us
marketplace.visualstudio.com/items?itemName=eamodio.gitlens,315,us
marketplace.visualstudio.com/items?itemName=idex.vsthemepack,22,us
marketplace.visualstudio.com/items?itemName=SharpDevelopTeam.CodeConverter,51,us
marketplace.visualstudio.com/items?itemName=James-Yu.latex-workshop,31,us
marketplace.visualstudio.com/items?itemName=ryanluker.vscode-coverage-gutters,123,us
marketplace.visualstudio.com/items?itemName=Tencent-Cloud.coding-copilot,182,us
marketplace.visualstudio.com/items?itemName=Pimzino.spec-workflow-mcp,82,us
marketplace.visualstudio.com/items?itemName=GitHub.copilot,58,us
marketplace.visualstudio.com/items?itemName=tht13.html-preview-vscode,22,us
marketplace.visualstudio.com/items?itemName=small-tech.comment-out-css,250,us
marketplace.visualstudio.com/items?itemName=Chukwuamaka.csvtojson-converter,248,us
marketplace.visualstudio.com/items?itemName=shd101wyy.markdown-preview-enhanced,233,us
marketplace.visualstudio.com/items?itemName=Codeium.codeium,230,us
marketplace.visualstudio.com/items?itemName=MermaidChart.vscode-mermaid-chart,225,us
marketplace.visualstudio.com/items?itemName=charliermarsh.ruff,52,us
marketplace.visualstudio.com/items?itemName=PrateekMahendrakar.prettyxml,35,us
marketplace.visualstudio.com/items?itemName=humao.rest-client,85,us
marketplace.visualstudio.com/items?itemName=ms-python.mypy-type-checker,15,us
marketplace.visualstudio.com/items?itemName=domdomegg.markdown-inline-preview-vscode,12,us
marketplace.visualstudio.com/items?itemName=ms-vscode.PowerShell,83,us
marketplace.visualstudio.com/items?itemName=JakeWilson.vscode-placeholder-images,119,us
marketplace.visualstudio.com/items?itemName=AmazonWebServices.amazon-q-vscode,18,us
